id,trial,inventory,first,second,success,results,t
5,15,17,26,563,1,-1,0
5,16,17,27,563,1,-1,0
5,17,18,27,578,1,[100],0
5,18,18,27,27,1,-1,0
5,19,19,71,71,1,[256],0
5,20,20,256,256,1,[302],0
5,21,21,0,27,1,[106],0
5,22,22,2,563,1,[5],0
5,23,22,3,5,1,-1,0
5,24,22,1,2,1,-1,0
5,25,23,0,0,1,[478],0
5,26,24,0,478,1,[329],0
5,27,25,329,329,1,[514],0
5,28,26,514,514,1,[8],0
5,29,27,8,8,1,[9],0
5,30,27,0,8,1,-1,0
5,31,27,0,514,1,-1,0
5,32,27,0,329,1,-1,0
5,33,27,9,9,1,-1,0
5,34,27,478,478,1,-1,0
5,35,27,27,514,1,-1,0
5,36,27,8,27,1,-1,0
5,37,27,9,27,1,-1,0
5,38,28,2,5,1,[7],0
5,39,30,6,7,1,"[25, 20]",0
5,40,32,31,35,1,"[184, 286]",0
5,41,33,0,1,1,[4],0
5,42,34,19,71,1,[150],0
5,43,34,0,563,1,-1,0
5,44,35,578,578,1,[579],0
5,45,36,9,579,1,[247],0
5,46,37,1,247,1,[107],0
5,47,38,3,247,1,[162],0
5,48,40,107,162,1,"[532, 21]",0
5,49,40,1,21,1,-1,0
6,0,5,3,3,1,[6],0
6,1,6,2,6,1,[26],0
6,2,7,1,26,1,[35],0
6,3,8,26,35,1,[54],0
6,4,9,26,26,1,[246],0
6,5,10,246,246,1,[71],0
6,6,11,35,54,1,[148],0
6,7,12,3,6,1,[19],0
6,8,13,2,26,1,[578],0
6,9,14,19,26,1,[27],0
6,10,14,2,2,1,-1,0
6,11,14,3,26,1,-1,0
6,12,15,1,27,1,[31],0
6,13,16,1,1,1,[10],0
6,14,17,3,10,1,[563],0
6,15,17,26,563,1,-1,0
6,16,17,27,563,1,-1,0
6,17,18,27,578,1,[100],0
6,18,18,27,27,1,-1,0
6,19,19,71,71,1,[256],0
6,20,20,256,256,1,[302],0
6,21,21,2,563,1,[5],0
6,22,21,3,5,1,-1,0
6,23,22,0,27,1,[106],0
6,24,22,1,2,1,-1,0
6,25,23,0,0,1,[478],0
6,26,24,478,478,1,[329],0
6,27,25,0,329,1,[514],0
6,28,26,514,514,1,[8],0
6,29,27,8,8,1,[9],0
6,30,27,0,514,1,-1,0
6,31,27,0,8,1,-1,0
6,32,27,329,329,1,-1,0
6,33,27,9,9,1,-1,0
6,34,27,0,478,1,-1,0
6,35,27,8,27,1,-1,0
6,36,27,9,27,1,-1,0
6,37,27,27,514,1,-1,0
6,38,28,2,5,1,[7],0
6,39,30,6,7,1,"[25, 20]",0
6,40,32,31,35,1,"[184, 286]",0
6,41,34,0,5,1,"[356, 4]",0
6,42,35,2,578,1,[579],0
6,43,36,9,579,1,[247],0
6,44,37,1,247,1,[107],0
6,45,38,3,247,1,[162],0
6,46,40,107,162,1,"[532, 21]",0
6,47,40,1,21,1,-1,0
6,48,40,162,162,1,-1,0
6,49,40,3,162,1,-1,0
7,0,5,3,3,1,[6],0
7,1,6,2,6,1,[26],0
7,2,7,1,26,1,[35],0
7,3,8,26,26,1,[246],0
7,4,9,246,246,1,[71],0
7,5,10,26,35,1,[54],0
7,6,11,35,54,1,[148],0
7,7,12,3,6,1,[19],0
7,8,13,3,26,1,[27],0
7,9,14,2,2,1,[578],0
7,10,14,19,26,1,-1,0
7,11,15,1,27,1,[31],0
7,12,15,2,26,1,-1,0
7,13,16,1,1,1,[10],0
7,14,17,3,10,1,[563],0
7,15,17,26,563,1,-1,0
7,16,17,27,563,1,-1,0
7,17,18,27,27,1,[100],0
7,18,18,27,578,1,-1,0
7,19,19,71,71,1,[256],0
7,20,20,256,256,1,[302],0
7,21,21,1,2,1,[5],0
7,22,21,3,5,1,-1,0
7,23,22,0,27,1,[106],0
7,24,22,2,563,1,-1,0
7,25,23,0,0,1,[478],0
7,26,24,0,478,1,[329],0
7,27,25,0,329,1,[514],0
7,28,26,514,514,1,[8],0
7,29,27,8,8,1,[9],0
7,30,27,0,8,1,-1,0
7,31,27,0,514,1,-1,0
7,32,27,329,329,1,-1,0
7,33,27,9,9,1,-1,0
7,34,27,478,478,1,-1,0
7,35,27,9,27,1,-1,0
7,36,27,8,27,1,-1,0
7,37,27,27,514,1,-1,0
7,38,28,2,5,1,[7],0
7,39,30,6,7,1,"[25, 20]",0
7,40,32,31,35,1,"[184, 286]",0
7,41,33,2,578,1,[579],0
7,42,34,9,579,1,[247],0
7,43,35,1,247,1,[107],0
7,44,36,3,247,1,[162],0
7,45,38,107,162,1,"[532, 21]",0
7,46,38,1,21,1,-1,0
7,47,38,162,162,1,-1,0
7,48,38,3,162,1,-1,0
7,49,38,1,162,1,-1,0
8,0,5,3,3,1,[6],0
8,1,6,2,6,1,[26],0
8,2,7,1,26,1,[35],0
8,3,8,26,26,1,[246],0
8,4,9,246,246,1,[71],0
8,5,10,26,35,1,[54],0
8,6,11,35,54,1,[148],0
8,7,12,3,6,1,[19],0
8,8,13,3,26,1,[27],0
8,9,14,2,2,1,[578],0
8,10,14,19,26,1,-1,0
8,11,14,2,26,1,-1,0
8,12,15,1,27,1,[31],0
8,13,16,1,1,1,[10],0
8,14,17,3,10,1,[563],0
8,15,17,26,563,1,-1,0
8,16,17,27,563,1,-1,0
8,17,18,27,27,1,[100],0
8,18,18,27,578,1,-1,0
8,19,19,71,71,1,[256],0
8,20,20,256,256,1,[302],0
8,21,21,0,27,1,[106],0
