model,trial,step,inventory_size
true_emp,10,25,21
true_emp,10,26,22
true_emp,10,27,23
true_emp,10,28,24
true_emp,10,29,25
true_emp,10,30,26
true_emp,10,31,27
true_emp,10,32,27
true_emp,10,33,27
true_emp,10,34,27
true_emp,10,35,27
true_emp,10,36,27
true_emp,10,37,27
true_emp,10,38,27
true_emp,10,39,27
true_emp,10,40,28
true_emp,10,41,29
true_emp,10,42,31
true_emp,10,43,31
true_emp,10,44,32
true_emp,10,45,33
true_emp,10,46,34
true_emp,10,47,35
true_emp,10,48,36
true_emp,10,49,36
true_emp,10,50,36
true_emp,10,51,36
true_emp,11,1,inventory_size
true_emp,11,2,5
true_emp,11,3,6
true_emp,11,4,7
true_emp,11,5,8
true_emp,11,6,9
true_emp,11,7,10
true_emp,11,8,11
true_emp,11,9,12
true_emp,11,10,13
true_emp,11,11,14
true_emp,11,12,14
true_emp,11,13,14
true_emp,11,14,15
true_emp,11,15,16
true_emp,11,16,17
true_emp,11,17,17
true_emp,11,18,17
true_emp,11,19,18
true_emp,11,20,18
true_emp,11,21,19
true_emp,11,22,20
true_emp,11,23,21
true_emp,11,24,21
true_emp,11,25,21
true_emp,11,26,22
true_emp,11,27,23
true_emp,11,28,24
true_emp,11,29,25
true_emp,11,30,26
true_emp,11,31,27
true_emp,11,32,27
true_emp,11,33,27
true_emp,11,34,27
true_emp,11,35,27
true_emp,11,36,27
true_emp,11,37,27
true_emp,11,38,27
true_emp,11,39,27
true_emp,11,40,28
true_emp,11,41,29
true_emp,11,42,31
true_emp,11,43,32
true_emp,11,44,33
true_emp,11,45,33
true_emp,11,46,33
true_emp,11,47,34
true_emp,11,48,35
true_emp,11,49,36
true_emp,11,50,37
true_emp,11,51,38
true_emp,12,1,inventory_size
true_emp,12,2,5
true_emp,12,3,6
true_emp,12,4,7
true_emp,12,5,8
true_emp,12,6,9
true_emp,12,7,10
true_emp,12,8,11
true_emp,12,9,12
true_emp,12,10,13
true_emp,12,11,14
true_emp,12,12,14
true_emp,12,13,14
true_emp,12,14,15
true_emp,12,15,16
true_emp,12,16,17
true_emp,12,17,17
true_emp,12,18,17
true_emp,12,19,18
true_emp,12,20,18
true_emp,12,21,19
true_emp,12,22,20
true_emp,12,23,21
true_emp,12,24,22
true_emp,12,25,22
true_emp,12,26,22
true_emp,12,27,23
true_emp,12,28,24
true_emp,12,29,25
true_emp,12,30,26
true_emp,12,31,27
true_emp,12,32,27
true_emp,12,33,27
true_emp,12,34,27
true_emp,12,35,27
true_emp,12,36,27
true_emp,12,37,27
true_emp,12,38,27
true_emp,12,39,27
true_emp,12,40,28
true_emp,12,41,29
true_emp,12,42,31
true_emp,12,43,32
true_emp,12,44,33
true_emp,12,45,34
true_emp,12,46,35
true_emp,12,47,36
true_emp,12,48,36
true_emp,12,49,36
true_emp,12,50,36
true_emp,12,51,36
true_emp,13,1,inventory_size
true_emp,13,2,5
true_emp,13,3,6
true_emp,13,4,7
true_emp,13,5,8
true_emp,13,6,9
true_emp,13,7,10
true_emp,13,8,11
true_emp,13,9,12
true_emp,13,10,13
true_emp,13,11,14
true_emp,13,12,14
true_emp,13,13,14
true_emp,13,14,15
true_emp,13,15,16
true_emp,13,16,17
true_emp,13,17,17
true_emp,13,18,17
true_emp,13,19,18
true_emp,13,20,18
true_emp,13,21,19
true_emp,13,22,20
true_emp,13,23,21
true_emp,13,24,21
true_emp,13,25,22
true_emp,13,26,22
true_emp,13,27,23
true_emp,13,28,24
true_emp,13,29,25
true_emp,13,30,26
true_emp,13,31,27
true_emp,13,32,27
true_emp,13,33,27
true_emp,13,34,27
true_emp,13,35,27
true_emp,13,36,27
true_emp,13,37,27
true_emp,13,38,27
true_emp,13,39,27
true_emp,13,40,28
true_emp,13,41,29
true_emp,13,42,31
true_emp,13,43,32
true_emp,13,44,33
true_emp,13,45,34
true_emp,13,46,35
true_emp,13,47,36
true_emp,13,48,37
true_emp,13,49,38
true_emp,13,50,38
true_emp,13,51,38
true_emp,14,1,inventory_size
true_emp,14,2,5
true_emp,14,3,6
true_emp,14,4,7
true_emp,14,5,8
true_emp,14,6,9
true_emp,14,7,10
true_emp,14,8,11
true_emp,14,9,12
true_emp,14,10,13
true_emp,14,11,14
true_emp,14,12,15
true_emp,14,13,15
true_emp,14,14,15
true_emp,14,15,16
true_emp,14,16,17
true_emp,14,17,17
true_emp,14,18,17
true_emp,14,19,18
true_emp,14,20,18
true_emp,14,21,19
true_emp,14,22,20
true_emp,14,23,21
true_emp,14,24,21
true_emp,14,25,22
true_emp,14,26,22
true_emp,14,27,23
true_emp,14,28,24
true_emp,14,29,25
true_emp,14,30,26
true_emp,14,31,27
true_emp,14,32,27
true_emp,14,33,27
true_emp,14,34,27
true_emp,14,35,27
true_emp,14,36,27
true_emp,14,37,27
true_emp,14,38,27
true_emp,14,39,27
true_emp,14,40,28
true_emp,14,41,29
true_emp,14,42,31
true_emp,14,43,32
true_emp,14,44,33
true_emp,14,45,34
true_emp,14,46,35
true_emp,14,47,36
true_emp,14,48,37
true_emp,14,49,37
true_emp,14,50,37
true_emp,14,51,37
true_emp,15,1,inventory_size
true_emp,15,2,5
true_emp,15,3,6
true_emp,15,4,7
true_emp,15,5,8
true_emp,15,6,9
true_emp,15,7,10
true_emp,15,8,11
true_emp,15,9,12
true_emp,15,10,13
true_emp,15,11,14
true_emp,15,12,14
true_emp,15,13,15
true_emp,15,14,15
true_emp,15,15,16
true_emp,15,16,17
true_emp,15,17,17
true_emp,15,18,17
true_emp,15,19,18
true_emp,15,20,18
true_emp,15,21,19
true_emp,15,22,20
true_emp,15,23,21
true_emp,15,24,21
true_emp,15,25,21
true_emp,15,26,22
true_emp,15,27,23
true_emp,15,28,24
true_emp,15,29,25
true_emp,15,30,26
true_emp,15,31,27
true_emp,15,32,27
true_emp,15,33,27
true_emp,15,34,27
true_emp,15,35,27
true_emp,15,36,27
true_emp,15,37,27
true_emp,15,38,27
true_emp,15,39,27
true_emp,15,40,28
true_emp,15,41,29
true_emp,15,42,31
true_emp,15,43,32
true_emp,15,44,33
true_emp,15,45,34
true_emp,15,46,35
true_emp,15,47,36
true_emp,15,48,37
true_emp,15,49,37
true_emp,15,50,37
true_emp,15,51,37
true_emp,16,1,inventory_size
true_emp,16,2,5
true_emp,16,3,6
true_emp,16,4,7
true_emp,16,5,8
true_emp,16,6,9
true_emp,16,7,10
true_emp,16,8,11
true_emp,16,9,12
true_emp,16,10,13
true_emp,16,11,14
true_emp,16,12,15
true_emp,16,13,15
true_emp,16,14,15
true_emp,16,15,16
true_emp,16,16,17
true_emp,16,17,17
true_emp,16,18,17
true_emp,16,19,18
true_emp,16,20,18
true_emp,16,21,19
true_emp,16,22,20
true_emp,16,23,21
true_emp,16,24,22
true_emp,16,25,22
true_emp,16,26,22
true_emp,16,27,23
true_emp,16,28,24
true_emp,16,29,25
true_emp,16,30,26
true_emp,16,31,27
true_emp,16,32,27
true_emp,16,33,27
true_emp,16,34,27
true_emp,16,35,27
true_emp,16,36,27
true_emp,16,37,27
true_emp,16,38,27
true_emp,16,39,27
true_emp,16,40,28
true_emp,16,41,29
true_emp,16,42,31
true_emp,16,43,31
true_emp,16,44,32
true_emp,16,45,33
true_emp,16,46,34
true_emp,16,47,35
true_emp,16,48,36
true_emp,16,49,37
true_emp,16,50,37
true_emp,16,51,37
true_emp,17,1,inventory_size
